gene,Fish_kME
Acropora_000001,0
Acropora_000002,0
Acropora_000006,0
Acropora_000007,0
Acropora_000012,0
Acropora_000013,0
Acropora_000019,0
Acropora_000020,0
Acropora_000021,0
Acropora_000023,0
Acropora_000024,0
Acropora_000026,0
Acropora_000027,0
Acropora_000028,0
Acropora_000029,0
Acropora_000030,0
Acropora_000031,0
Acropora_000032,0
Acropora_000033,0
Acropora_000034,0
Acropora_000036,0
Acropora_000039,0
Acropora_000040,0
Acropora_000041,0
Acropora_000046,0
Acropora_000048,0
Acropora_000049,0
Acropora_000050,0
Acropora_000051,0
Acropora_000052,0
Acropora_000054,0
Acropora_000055,0
Acropora_000056,0
Acropora_000057,0
Acropora_000059,0
Acropora_000060,0
Acropora_000062,0
Acropora_000066,0
Acropora_000067,0
Acropora_000068,0
Acropora_000069,0
Acropora_000072,0
Acropora_000076,0
Acropora_000077,0
Acropora_000078,0
Acropora_000079,0
Acropora_000081,0
Acropora_000082,0
Acropora_000083,0
Acropora_000084,0
Acropora_000085,0
Acropora_000086,0
Acropora_000087,0
Acropora_000088,0
Acropora_000092,0
Acropora_000094,0
Acropora_000096,0
Acropora_000099,0
Acropora_000100,0
Acropora_000101,0
Acropora_000102,0
Acropora_000103,0
Acropora_000109,0
Acropora_000110,0
Acropora_000112,0
Acropora_000113,0
Acropora_000114,0
Acropora_000117,0
Acropora_000119,0
Acropora_000120,0
Acropora_000121,0
Acropora_000122,0
Acropora_000123,0
Acropora_000125,0
Acropora_000132,0
Acropora_000135,0
Acropora_000137,0
Acropora_000138,0
Acropora_000139,0
Acropora_000140,0
Acropora_000141,0
Acropora_000143,0
Acropora_000146,0
Acropora_000147,0
Acropora_000148,0
Acropora_000151,0
Acropora_000152,0
Acropora_000153,0
Acropora_000154,0
Acropora_000155,0
Acropora_000156,0
Acropora_000158,0
Acropora_000159,0
Acropora_000160,0
Acropora_000161,0
Acropora_000162,0
Acropora_000165,0
Acropora_000166,0
Acropora_000178,0
Acropora_000180,0
Acropora_000182,0
Acropora_000183,0
Acropora_000184,0
Acropora_000185,0
Acropora_000190,0
Acropora_000192,0
Acropora_000195,0
Acropora_000196,0
Acropora_000198,0
Acropora_000199,0
Acropora_000201,0
Acropora_000202,0
Acropora_000203,0
Acropora_000204,0
Acropora_000205,0
Acropora_000207,0
Acropora_000208,0
Acropora_000209,0
Acropora_000211,0
Acropora_000212,0
Acropora_000213,0
Acropora_000215,0
Acropora_000218,0
Acropora_000219,0
Acropora_000221,0
Acropora_000223,0
Acropora_000224,0
Acropora_000226,0
Acropora_000227,0
Acropora_000228,0
Acropora_000233,0
Acropora_000234,0
Acropora_000235,0
Acropora_000236,0
Acropora_000237,0
Acropora_000238,0
Acropora_000239,0
Acropora_000240,0
Acropora_000241,0
Acropora_000242,0
Acropora_000243,0
Acropora_000244,0
Acropora_000245,0
Acropora_000246,0
Acropora_000247,0
Acropora_000249,0
Acropora_000250,0
Acropora_000252,0
Acropora_000253,0
Acropora_000255,0
Acropora_000257,0
Acropora_000258,0
Acropora_000259,0
Acropora_000261,0
Acropora_000262,0
Acropora_000263,0
Acropora_000264,0
Acropora_000268,0
Acropora_000270,0
Acropora_000272,0
Acropora_000277,0
Acropora_000279,0
Acropora_000282,0
Acropora_000285,0
Acropora_000286,0
Acropora_000287,0
Acropora_000291,0
Acropora_000293,0
Acropora_000296,0
Acropora_000298,0
Acropora_000301,0
Acropora_000302,0
Acropora_000304,0
Acropora_000305,0
Acropora_000306,0
Acropora_000307,0
Acropora_000308,0
Acropora_000309,0
Acropora_000310,0
Acropora_000311,0
Acropora_000313,0
Acropora_000315,0
Acropora_000319,0
Acropora_000323,0
Acropora_000324,0
Acropora_000325,0
Acropora_000326,0
Acropora_000327,0
Acropora_000328,0
Acropora_000330,0
Acropora_000331,0
Acropora_000333,0
Acropora_000334,0
Acropora_000335,0
Acropora_000336,0
Acropora_000337,0
Acropora_000338,0
Acropora_000339,0
Acropora_000342,0
Acropora_000347,0
Acropora_000349,0
Acropora_000353,0
Acropora_000354,0
Acropora_000355,0
Acropora_000356,0
Acropora_000357,0
Acropora_000358,0
Acropora_000359,0
Acropora_000361,0
Acropora_000362,0
Acropora_000363,0
Acropora_000364,0
Acropora_000366,0.770658808464656
Acropora_000368,0
Acropora_000370,0
Acropora_000371,0
Acropora_000372,0
Acropora_000373,0
Acropora_000374,0
Acropora_000375,0
Acropora_000376,0
Acropora_000378,0
Acropora_000379,0
Acropora_000381,0
Acropora_000382,0
Acropora_000385,0
Acropora_000386,0
Acropora_000387,0
Acropora_000388,0
Acropora_000390,0
Acropora_000391,0
Acropora_000392,0
Acropora_000393,0
Acropora_000394,0
Acropora_000395,0
Acropora_000396,0
Acropora_000398,0
Acropora_000401,0
Acropora_000402,0
Acropora_000405,0
Acropora_000407,0
Acropora_000409,0
Acropora_000413,0
Acropora_000417,0
Acropora_000418,0
Acropora_000419,0
Acropora_000420,0
Acropora_000421,0
Acropora_000422,0
Acropora_000424,0
Acropora_000425,0
Acropora_000427,0
Acropora_000429,0
Acropora_000430,0
Acropora_000435,0
Acropora_000436,0
Acropora_000437,0
Acropora_000441,0
Acropora_000443,0
Acropora_000444,0
Acropora_000445,0
Acropora_000446,0
Acropora_000447,0.737406114509547
Acropora_000448,0
Acropora_000449,0
Acropora_000452,0
Acropora_000454,0
Acropora_000455,0
Acropora_000456,0
Acropora_000457,0
Acropora_000464,0
Acropora_000465,0
Acropora_000466,0
Acropora_000469,0
Acropora_000470,0
Acropora_000471,0
Acropora_000475,0
Acropora_000476,0
Acropora_000477,0
Acropora_000479,0
Acropora_000480,0
Acropora_000481,0
Acropora_000485,0
Acropora_000487,0
Acropora_000490,0
Acropora_000496,0
Acropora_000497,0
Acropora_000498,0
Acropora_000499,0
Acropora_000500,0
Acropora_000501,0
Acropora_000503,0
Acropora_000506,0
Acropora_000507,0
Acropora_000508,0
Acropora_000509,0
Acropora_000510,0
Acropora_000511,0
Acropora_000512,0
Acropora_000514,0
Acropora_000516,0
Acropora_000517,0
Acropora_000518,0
Acropora_000519,0
Acropora_000521,0
Acropora_000523,0
Acropora_000524,0
Acropora_000525,0
Acropora_000527,0
Acropora_000531,0
Acropora_000532,0
Acropora_000533,0
Acropora_000534,0
Acropora_000535,0
Acropora_000536,0
Acropora_000537,0
Acropora_000541,0
Acropora_000542,0
Acropora_000543,0
Acropora_000546,0
Acropora_000551,0
Acropora_000552,0
Acropora_000564,0
Acropora_000565,0
Acropora_000566,0
Acropora_000570,0
Acropora_000572,0
Acropora_000573,0
Acropora_000574,0
Acropora_000575,0
Acropora_000579,0
Acropora_000580,0
Acropora_000581,0
Acropora_000582,0
Acropora_000584,0
Acropora_000587,0
Acropora_000588,0
Acropora_000594,0
Acropora_000596,0
Acropora_000601,0
Acropora_000602,0
Acropora_000603,0
Acropora_000605,0
Acropora_000607,0
Acropora_000608,0
Acropora_000609,0
Acropora_000610,0
